"title","author"
"Trabalho, solidariedade social e economia solidária","Lima, Jacob Carlos"
"Trabalho, solidariedade social e economia solidária","Souza, André Ricardo de"
"Para onde vai o multilateralismo nas américas?: projetos superpostos num período de mudanças globais","Portales, Carlos"
"Os imperativos do Brasil no desafiador espaço regional da América do Sul: uma visão da economia política internacional","Tussie, Diana"
"Relações entre equidade e viabilidade nos empreendimentos solidários","Gaiger, Luiz Inácio"
"A dimensão econômica da teoria política aristotélica","Rossi, Miguel Angel"
"A dimensão econômica da teoria política aristotélica","Tierno, Patricio"
"Mudanças da inserção brasileira na américa latina","Vigevani, Tullo"
"Mudanças da inserção brasileira na américa latina","Ramanzini Júnior, Haroldo"
"O capitalismo coordenado alemão: do boom do pós-guerra à Agenda 2010","Guimarães, Alexandre Queiroz"
"Abertura econômica, empresariado e política: os planos doméstico e internacional","Mancuso, Wagner Pralon"
"Abertura econômica, empresariado e política: os planos doméstico e internacional","Oliveira, Amâncio Jorge de"
"São Paulo no contexto da globalização","Wanderley, Luiz Eduardo W."
"Estado, mercado e outras instituições reguladoras","Moraes, Reginaldo"
"Brasil: a economia do capitalismo selvagem","Andrade, Regis de Castro"
"Brasil: a economia do capitalismo selvagem","Andrade, Regis de Castro"
"DINHEIRO, EMOÇÃO E AGÊNCIA: UMA ETNOGRAFIA NO MERCADO FUNERÁRIO DE PORTO ALEGRE","Neves, Marcos Freire de Andrade"
"DINHEIRO, EMOÇÃO E AGÊNCIA: UMA ETNOGRAFIA NO MERCADO FUNERÁRIO DE PORTO ALEGRE","Damo, Arlei Sander"
"A construção intelectual dos mercados agrícolas: a sociedade francesa dos economistas rurais e a revista Economie Rurale","Parpet, Marie-France Garcia"
"Política e economia na ação coletiva: uma crítica etnográfica às premissas dicotômicas","Quirós, Julieta"
"Decifra-me ou te devoro! As finanças e a sociedade brasileira","Grün, Roberto"
"Decifra-me ou te devoro! As finanças e a sociedade brasileira","Grün, Roberto"
"A gênese social do homo-economicus: a Argélia e a sociologia da economia em Pierre Bourdieu","Garcia-Parpet, Marie-France"
"A gênese social do homo-economicus: a Argélia e a sociologia da economia em Pierre Bourdieu","Garcia-Parpet, Marie-France"
"Lares de cuidado e linhas de sucessão: algumas indicações etnográficas na França, hoje","Weber, Florence"
"Práticas econômicas e formas ordinárias de cálculo","Weber, Florence"
"O campo dos economistas franceses no fim dos anos 90: lutas de fronteira, autonomia e estrutura","Lebaron, Frédéric"
"O campo dos economistas franceses no fim dos anos 90: lutas de fronteira, autonomia e estrutura","Lebaron, Frédéric"
"Cálculo econômico e mobilidades sociais cruzadas em terras gaúchas: estudo sobre mudança da morfologia do patronato rural*","Piccin, Marcos Botton"
"Classe social e desigualdade de saúde no Brasil","Santos, José Alcides Figueiredo"
"Escândalos, tsunamis e marolas: apontamentos e desapontamentos sobre um traço recorrente da atualidade","Grün, Roberto"
"A economia solidária e o trabalho associativo: teorias e realidades","Leite, Marcia de Paula"
"As redes sociais do crime organizado: a perspectiva da nova sociologia econômica","Lopes Júnior, Edmílson"
"As redes sociais do crime organizado: a perspectiva da nova sociologia econômica","Lopes Júnior, Edmílson"
"A política de defesa brasileira: nem racionalismo, nem incrementalismo","Dagnino, Renato"
"Economia e sociedade: últimos achados sobre a ""grande obra"" de Max Weber","Pierucci, Antônio Flávio"
"A formação de um mercado de microfinanças no sertão da Bahia","Magalhães, Reginaldo Sales"
"A formação de um mercado de microfinanças no sertão da Bahia","Abramovay, Ricardo"
"A construção social do mercado em Durkheim e Weber: análise do papel das instituições na sociologia econômica clássica","Raud-Mattedi, Cécile"
"Uma classificação socioeconômica para o Brasil","Santos, José Alcides Figueiredo"
"Convergência das elites e inovações financeiras: a governança corporativa no Brasil","Grün, Roberto"
"Metamorfoses do Estado brasileiro no final do século XX","Sallum Jr., Brasilio"
"Atores e ações na construção da governança corporativa brasileira","Grün, Roberto"
"""Informal"", ilegal, injusto: percepções do mercado de trabalho no Brasil","Noronha, Eduardo G."
"Itinerários do capital e seu impacto no cenário inter-regional","Soares Dulci, Otávio"
"A estabilização heterodoxa no brasil: idéias e redes políticas","Pio, Carlos"
"A estabilização heterodoxa no brasil: idéias e redes políticas","Pio, Carlos"
"Desigualdade e pobreza: lições de Sen","Kerstenetzky, Celia Lessa"
"Desigualdade e pobreza: lições de Sen","Kerstenetzky, Celia Lessa"
"Desigualdade e pobreza no Brasil: retrato de uma estabilidade inaceitável","Barros, Ricardo Paes de"
"Desigualdade e pobreza no Brasil: retrato de uma estabilidade inaceitável","Henriques, Ricardo"
"Desigualdade e pobreza no Brasil: retrato de uma estabilidade inaceitável","Mendonça, Rosane"
"A dolarização do conhecimento técnico profissional e do Estado: processos transnacionais e questões de legitimação na transformação do Estado, 1960-2000","Dezalay, Yves"
"A dolarização do conhecimento técnico profissional e do Estado: processos transnacionais e questões de legitimação na transformação do Estado, 1960-2000","Garth, Bryant"
"Modelos de empresa, modelos de mundo: sobre algumas características culturais da nova ordem econômica e da resistência a ela","Grün, Roberto"
"Os remeiros do São Francisco na literatura","Neves, Zanoni"
"Tempo e espaço entre os  Enawene Nawe","Silva, Márcio"
"Desenvolvimento e sociologia: uma aproximação necessária","Leme, Alessandro André"
"Mudanças de renda no Brasil: fatores espaciais, setoriais, educacionais e de status social","Santos, José Alcides Figueiredo"
"A esquerda, o Estado, a economia: considerações em torno à crise socioeconômica hodierna","Danner, Leno Francisco"
"Trajetória institucional e políticas de CT&I: o caso do CNAVAL/IPT nos anos 2000","Gitahy, Leda"
"Trajetória institucional e políticas de CT&I: o caso do CNAVAL/IPT nos anos 2000","Silva, Lucas Rodrigo da"
"Por um olhar inverso: prismas e questões de pesquisa sobre a economia solidária","Gaiger, Luiz Inácio Germany"
"Seguro-desemprego no Brasil: a possibilidade de combinar proteção social e melhor funcionamento do mercado de trabalho","Balestro, Moisés Villamil"
"Seguro-desemprego no Brasil: a possibilidade de combinar proteção social e melhor funcionamento do mercado de trabalho","Marinho, Danilo Nolasco Cortes"
"Seguro-desemprego no Brasil: a possibilidade de combinar proteção social e melhor funcionamento do mercado de trabalho","Walter, Maria Inez Machado Telles"
"Integrando abordagens da economia e da sociologia em análises da produção tecnológica","Rauen, Cristiane Vianna"
"Integrando abordagens da economia e da sociologia em análises da produção tecnológica","Velho, Léa"
"Desflorestamento na amazônia brasileira: ação coletiva, governança e governabilidade em área de fronteira","Machado, Luciana de Oliveira Rosa"
"Guerra cultural e transformações sociais: as eleições presidenciais de 2006 e a ""blogosfera""","Grün, Roberto"
"Guerra cultural e transformações sociais: as eleições presidenciais de 2006 e a ""blogosfera""","Grün, Roberto"
"A construção social do mercado de madeiras certificadas na Amazônia brasileira: a atuação das ONGs ambientalistas e das empresas pioneiras","Carneiro, Marcelo Sampaio"
"A racionalidade dos formatos produtivos autogestionários","Gaiger, Luiz Inácio"
"Economia e cultura no circuito das festas populares brasileiras","Farias, Edson"
"Avanços e desafios da Nova Sociologia Econômica: notas sobre os estudos sociológicos do mercado","Wanderley, Fernanda"
"Avanços e desafios da Nova Sociologia Econômica: notas sobre os estudos sociológicos do mercado","Wanderley, Fernanda"
"As potencialidades analíticas da Nova Sociologia Econômica","Lopes Júnior, Edmilson"
"Max Weber: family history, economic policy, exchange reform","Roth, Guenther"
"Max Weber: family history, economic policy, exchange reform","Roth, Guenther"
"Da sociologia econômica à sociologia da empresa: para uma sociologia da empresa Brasileira","Kirschner, Ana Maria"
"Da sociologia econômica à sociologia da empresa: para uma sociologia da empresa Brasileira","Monteiro, Cristiano Fonseca"
"Contribuições da Sociologia Econômica à teoria das organizações","Serva, Maurício"
"Distributing intelligence and organizing diversity in new media projects","Girard, Monique"
"Distributing intelligence and organizing diversity in new media projects","Stark, David"
"Mediações institucionais e inovações metodológicas: a teoria da regulação e a formalização da dinâmica econômica histórica","Braga, Ruy"
"Economia solidária, a perspectiva européia","Laville, Jean-Louis"
"Economia solidária versus economia capitalista","Singer, Paul"
"Em busca de novas solidariedades: os empreendimentos da economia social em questão","Carvalho, Ricardo Augusto Alves de"
"Em busca de novas solidariedades: os empreendimentos da economia social em questão","Pires, Sanyo Drummond"
"A problemática da economia solidária: uma perspectiva internacional","França Filho, Genauto Carvalho de"
"A problemática da economia solidária: uma perspectiva internacional","França Filho, Genauto Carvalho de"
"Racismo e Saúde: um corpus crescente de evidência internacional","Williams, David R."
"Racismo e Saúde: um corpus crescente de evidência internacional","Priest, Naomi"
"Mudança social e teoria da economia solidária. Uma perspectiva maussiana","LAVILLE, JEAN-LOUIS"
"Mudança social e teoria da economia solidária. Uma perspectiva maussiana","LAVILLE, JEAN-LOUIS"
"Sustentabilidade entre interdisciplinaridade e propositividade: um olhar                para artigos científicos em ecologia, economia, sociologia e                antropologia","Silva Junior, Roberto Donato da"
"Sustentabilidade entre interdisciplinaridade e propositividade: um olhar                para artigos científicos em ecologia, economia, sociologia e                antropologia","Ferreira, Leila da Costa"
"Sustentabilidade entre interdisciplinaridade e propositividade: um olhar                para artigos científicos em ecologia, economia, sociologia e                antropologia","Lewinsohn, Thomas Michael"
"As articulações entre intimidade e trabalho: a construção social de um mercado de trabalho livre no oeste paulista cafeeiro","Palma, Rogério da"
"As articulações entre intimidade e trabalho: a construção social de um mercado de trabalho livre no oeste paulista cafeeiro","Truzzi, Oswaldo Mário Serra"
"""Parcerias"" com a cana-de-açúcar: tensões e contradições no desenvolvimento das experiências de assentamentos rurais em São Paulo","Ferrante, Vera Lucia Silveira Botta"
"""Parcerias"" com a cana-de-açúcar: tensões e contradições no desenvolvimento das experiências de assentamentos rurais em São Paulo","Barone, Luís Antonio"
"Rumo ao desenvolvimento espacial sustentável? Explorando as implicações da nova bioeconomia no setor agroalimentar e na inovação regional","Horlings, Ina"
"Rumo ao desenvolvimento espacial sustentável? Explorando as implicações da nova bioeconomia no setor agroalimentar e na inovação regional","Marsden, Terry"
"Rumo ao desenvolvimento espacial sustentável? Explorando as implicações da nova bioeconomia no setor agroalimentar e na inovação regional","Horlings, Ina"
"Rumo ao desenvolvimento espacial sustentável? Explorando as implicações da nova bioeconomia no setor agroalimentar e na inovação regional","Marsden, Terry"
"Estados de bem-estar social e estratégias de desenvolvimento na América Latina: um novo desenvolvimentismo em gestação?","Draibe, Sônia M."
"Estados de bem-estar social e estratégias de desenvolvimento na América Latina: um novo desenvolvimentismo em gestação?","Riesco, Manuel"
"A face oculta(da) dos movimentos sociais: trânsito institucional e intersecção Estado-Movimento - uma análise do movimento de economia solidária no Rio Grande do Sul","Silva, Marcelo Kunrath"
"A face oculta(da) dos movimentos sociais: trânsito institucional e intersecção Estado-Movimento - uma análise do movimento de economia solidária no Rio Grande do Sul","Oliveira, Gerson de Lima"
"Participação, empreendedorismo e autogestão: uma nova cultura do trabalho?","Lima, Jacob Carlos"
"Os Valores da Economia Solidária","Azambuja, Lucas Rodrigues"
"Universidades VS terciarização do ensino superior: a lógica da expansão do acesso com manutenção da desigualdade: o caso brasileiro","Prates, Antônio Augusto Pereira"
"Elites econômicas, apropriação da riqueza e desigualdades","Alvarez Leguizamón, Sonia"
"Desigualdades socioeconômicas: conceitos e problemas de pesquisa","Cattani, Antonio David"
"Transformações na realidade do trabalho no Brasil e em Portugal","Larangeira, Sonia Guimarães"
"Além da ""Monocultura Institucional"": instituições, capacidades e o desenvolvimento deliberativo","Evans, Peter"
"Regulação em saúde: análise de conceitos fundamentais","Castro, Janice Dornelles de"
"Análise comparativa dos efeitos da base socioeconômica, dos tipos de crime e das condições de prisão na reincidência criminal","Fandiño Mariño, Juan Mario"
"Realidade territorial de unidades familiares no semiárido brasileiro","Vidal, Déa de Lima"
"Realidade territorial de unidades familiares no semiárido brasileiro","Santos, Daniel Paraguay Alves"
"A sociologia dos índices de sustentabilidade","Sartore, Marina de Souza"
"Uma sociologia do business na capital mexicana","Parra, Johana"
"Uma sociologia do business na capital mexicana","Nasser, Ana Cristina"
"Anticapitalismo e inserção social dos mercados","Abramovay, Ricardo"
"A economia entre crises: economia política e finanças na Universidade de Buenos Aires (1870-1900)","Plotkin, Mariano Ben"
"A economia entre crises: economia política e finanças na Universidade de Buenos Aires (1870-1900)","Caravaca, Jimena"
"Financeirização de esquerda? Frutos inesperados no Brasil do século XXI","Grün, Roberto"
"O assalto à educação pelos economistas","Almeida, Ana Maria F."
"Usos e limites da teoria da escolha racional da religião","Mariano, Ricardo"
"Bourdieu e a nova sociologia econômica","Raud, Cécile"
"Bourdieu e a nova sociologia econômica","Raud, Cécile"
"Raízes alemãs da sociologia econômica","Lallement, Michel"
"As origens da Embraer","Forjaz, Maria Cecilia Spina"
"Sociologia econômica: hoje e amanhã","Swedberg, Richard"
"Sociologia econômica: hoje e amanhã","Swedberg, Richard"
"Entre Deus e o diabo: mercados e interação humana nas ciências sociais","Abramovay, Ricardo"
"Entre Deus e o diabo: mercados e interação humana nas ciências sociais","Abramovay, Ricardo"
"Restrições benéficas: benéficas para quem?","Wright, Erik Olin"
"A doação de órgãos: a lei, o mercado e as famílias","Steiner, Philippe"
"A sociologia das finanças e a nova geografia do poder no Brasil","Grün, Roberto"
"A sociologia das finanças e a nova geografia do poder no Brasil","Grün, Roberto"
"Economistas e culturas econômicas no Brasil e na Argentina: notas para uma comparação a propósito das heterodoxias","Neiburg, Federico"
"Economistas e culturas econômicas no Brasil e na Argentina: notas para uma comparação a propósito das heterodoxias","Neiburg, Federico"
"Política econômica do segundo governo FHC: mudança em condições adversas","Oliveira, Gesner"
"Política econômica do segundo governo FHC: mudança em condições adversas","Turolla, Frederico"
"O segundo governo FHC: coalizões, agendas e instituições","Couto, Cláudio G."
"O segundo governo FHC: coalizões, agendas e instituições","Abrucio, Fernando"
"Crise e desregulação do trabalho no Brasil","Cardoso Jr., José Celso"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","Sallum Jr, Brasilio"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","Schwartz, Gilson"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","Schwartz, Gilson"
"A classe média no mundo do neoliberalismo","Grün, Roberto"
"A classe média no mundo do neoliberalismo","Grün, Roberto"
"Questão urbana e envelhecimento populacional: breves conexões entre o direito à cidade e o idoso no mercado de trabalho","Véras, Maura Pardini Bicudo"
"Questão urbana e envelhecimento populacional: breves conexões entre o direito à cidade e o idoso no mercado de trabalho","Felix, Jorge"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Martins-Oliveira, Juliana Gabrielle"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Jorge, Kelly Oliva"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Ferreira, Raquel Conceição"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Ferreira, Efigênia Ferreira e"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Vale, Míriam Pimenta"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Zarzar, Patrícia Maria"
"Determinantes da implementação da política pública de um volume essencial de água gratuita em Bogotá e Medellín, Colômbia","Vargas, Laura"
"Determinantes da implementação da política pública de um volume essencial de água gratuita em Bogotá e Medellín, Colômbia","Heller, Léo"
"Associação entre consumo alimentar, atividade física, fatores socioeconômicos e percentual de gordura corporal em escolares","D&#8217;Avila, Gisele Liliam"
"Associação entre consumo alimentar, atividade física, fatores socioeconômicos e percentual de gordura corporal em escolares","Silva, Diego Augusto Santos"
"Associação entre consumo alimentar, atividade física, fatores socioeconômicos e percentual de gordura corporal em escolares","Vasconcelos, Francisco de Assis Guedes de"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Sales-Peres, Silvia Helena de Carvalho"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Guedes, Maria de Fatima Santos"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Sá, Letícia Marques"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Negrato, Carlos Antonio"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Lauris, José Roberto Pereira"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Sales-Peres, Silvia Helena de Carvalho"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Guedes, Maria de Fatima Santos"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Sá, Letícia Marques"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Negrato, Carlos Antonio"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Lauris, José Roberto Pereira"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Goudard, Marivanda Julia Furtado"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Simões, Vanda Maria Ferreira"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Batista, Rosângela Fernandes Lucena"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Queiroz, Rejane Christine de Souza"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Alves, Maria Tereza Seabra Soares de Brito e"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Coimbra, Liberata Campos"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Martins, Marília da Glória"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Barbieri, Marco Antônio"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Nathasje, Ian Favero"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Paiva, Michelle Helena Pereira de"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Pegorari, Maycon Sousa"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Nascimento, Janaína Santos"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Santos, Álvaro da Silva"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Paiva, Michelle Helena Pereira de"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Pegorari, Maycon Sousa"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Nascimento, Janaína Santos"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Santos, Álvaro da Silva"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Pinheiro, Natália Cristina Garcia"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Holanda, Vinicius Carlos Duarte"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Melo, Laércio Almeida de"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Medeiros, Annie Karoline Bezerra de"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Lima, Kenio Costa de"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Pinheiro, Natália Cristina Garcia"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Holanda, Vinicius Carlos Duarte"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Melo, Laércio Almeida de"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Medeiros, Annie Karoline Bezerra de"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Lima, Kenio Costa de"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Fonseca, Elize Massard da"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Costa, Nilson do Rosario"
