"title","keyword"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Sistema produtivo tradicional"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Sociologia econômica"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Estrutura socioeconômica"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Sistema produtivo tradicional"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Sociologia econômica"
"Sistemas produtivos tradicionais e imersão de interesses econômicos em relações sociais","Estrutura socioeconômica"
"Empreendedorismo intensivo em conhecimento no Brasil","pequenas e médias empresas intensivas em conhecimento"
"Empreendedorismo intensivo em conhecimento no Brasil","cientista-empreendedor"
"Empreendedorismo intensivo em conhecimento no Brasil","inovação"
"Empreendedorismo intensivo em conhecimento no Brasil","desenvolvimento econômico"
"Empreendedorismo intensivo em conhecimento no Brasil","sociedade do conhecimento"
"Sindicato, crise econômica e estratégias regionais novas dimensões da participação política no ABC Paulista","crise econômica"
"Sindicato, crise econômica e estratégias regionais novas dimensões da participação política no ABC Paulista","sindicato"
"Sindicato, crise econômica e estratégias regionais novas dimensões da participação política no ABC Paulista","territórios produtivos"
"Sindicato, crise econômica e estratégias regionais novas dimensões da participação política no ABC Paulista","região do ABC-Brasil"
"Finanças, consumo e circuitos da economia urbana na cidade de São Paulo","circuitos da economia urbana"
"Finanças, consumo e circuitos da economia urbana na cidade de São Paulo","instituições financeiras"
"Finanças, consumo e circuitos da economia urbana na cidade de São Paulo","oferta de crédito na cidade"
"Finanças, consumo e circuitos da economia urbana na cidade de São Paulo","oferta de crédito aos pobres"
"Finanças, consumo e circuitos da economia urbana na cidade de São Paulo","São Paulo"
"Riqueza e desigualdades","riqueza, poder"
"Riqueza e desigualdades","classes sociais"
"Riqueza e desigualdades","desigualdades socioeconômicas"
"A associação econômica dos pobres como via de combate às desigualdades","cooperação"
"A associação econômica dos pobres como via de combate às desigualdades","economia solidária"
"A associação econômica dos pobres como via de combate às desigualdades","empreendedorismo"
"A associação econômica dos pobres como via de combate às desigualdades","pobreza"
"A associação econômica dos pobres como via de combate às desigualdades","tecnologias sociais"
"Organização social e indicadores socioeconômicos no Brasil: um estudo exploratório","organização social"
"Organização social e indicadores socioeconômicos no Brasil: um estudo exploratório","capital social"
"Organização social e indicadores socioeconômicos no Brasil: um estudo exploratório","indicadores socioeconômicos"
"Organização social e indicadores socioeconômicos no Brasil: um estudo exploratório","desenvolvimento"
"Organização social e indicadores socioeconômicos no Brasil: um estudo exploratório","Brasil"
"Processos sociais de exclusão e políticas públicas de enfrentamento da pobreza","processos de exclusão"
"Processos sociais de exclusão e políticas públicas de enfrentamento da pobreza","internacionalização da economia"
"Processos sociais de exclusão e políticas públicas de enfrentamento da pobreza","políticas públicas"
"Processos sociais de exclusão e políticas públicas de enfrentamento da pobreza","vulnerabilidades"
"Processos sociais de exclusão e políticas públicas de enfrentamento da pobreza","privações"
"Estudantes com desvantagens econômicas e educacionais e fruição da universidade","desigualdades educacionais"
"Estudantes com desvantagens econômicas e educacionais e fruição da universidade","ensino superior"
"Estudantes com desvantagens econômicas e educacionais e fruição da universidade","elites sociais e econômicas"
"Estudantes com desvantagens econômicas e educacionais e fruição da universidade","universidade pública"
"Estudantes com desvantagens econômicas e educacionais e fruição da universidade","inclusão social"
"Economias sexuais, amor e tráfico de pessoas &#8211; novas questões conceituais","Mercados do Sexo"
"Economias sexuais, amor e tráfico de pessoas &#8211; novas questões conceituais","Economias Sexuais"
"Economias sexuais, amor e tráfico de pessoas &#8211; novas questões conceituais","Tráfico de Pessoas"
"Economias sexuais, amor e tráfico de pessoas &#8211; novas questões conceituais","Mercados do Sexo"
"Economias sexuais, amor e tráfico de pessoas &#8211; novas questões conceituais","Economias Sexuais"
"Economias sexuais, amor e tráfico de pessoas &#8211; novas questões conceituais","Tráfico de Pessoas"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Mídias Digitais"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Mercado"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Plataformas de Busca de Parceiros do Mesmo Sexo"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Economia do Desejo"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Regimes de Visibilidade"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Mídias Digitais"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Mercado"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Plataformas de Busca de Parceiros do Mesmo Sexo"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Economia do Desejo"
"""Discreto e fora do meio"" - Notas sobre a visibilidade sexual contemporânea*","Regimes de Visibilidade"
"Violências e afetos: intercâmbios sexuais e econômicos na (recente) produção antropológica realizada no Brasil","Intercâmbios econômicos e sexuais"
"Violências e afetos: intercâmbios sexuais e econômicos na (recente) produção antropológica realizada no Brasil","Prostituição"
"Violências e afetos: intercâmbios sexuais e econômicos na (recente) produção antropológica realizada no Brasil","Gênero"
"Violências e afetos: intercâmbios sexuais e econômicos na (recente) produção antropológica realizada no Brasil","Sexualidade"
"Violências e afetos: intercâmbios sexuais e econômicos na (recente) produção antropológica realizada no Brasil","Violência"
"Economia, Ideologia e Eleições na América Latina","voto econômico"
"Economia, Ideologia e Eleições na América Latina","América Latina"
"Economia, Ideologia e Eleições na América Latina","responsabilidade"
"Economia, Ideologia e Eleições na América Latina","ideologia"
"Economia, Ideologia e Eleições na América Latina","presidencialismo"
"O Estado (de Bem-Estar Social) como Ator do Desenvolvimento: Uma História das Ideias","Estado desenvolvimentista"
"O Estado (de Bem-Estar Social) como Ator do Desenvolvimento: Uma História das Ideias","democracia"
"O Estado (de Bem-Estar Social) como Ator do Desenvolvimento: Uma História das Ideias","Estado de Bem-Estar"
"O Estado (de Bem-Estar Social) como Ator do Desenvolvimento: Uma História das Ideias","desenvolvimento econômico e social"
"O Estado (de Bem-Estar Social) como Ator do Desenvolvimento: Uma História das Ideias","formas de Estado"
"Economia, Instituições e Estado de Bem-Estar Social: Respostas à Nova Configuração do Capitalismo pós-1970","Estado de Bem-Estar Social"
"Economia, Instituições e Estado de Bem-Estar Social: Respostas à Nova Configuração do Capitalismo pós-1970","instituições"
"Economia, Instituições e Estado de Bem-Estar Social: Respostas à Nova Configuração do Capitalismo pós-1970","neoliberalismo"
"Economia, Instituições e Estado de Bem-Estar Social: Respostas à Nova Configuração do Capitalismo pós-1970","modelo escandinavo"
"Economia, Instituições e Estado de Bem-Estar Social: Respostas à Nova Configuração do Capitalismo pós-1970","economia política"
"Novas configurações econômicas no eixo Ásia-Pacífico e suas consequências para a América Latina: da APEC à Aliança do Pacífico","Pacífico"
"Novas configurações econômicas no eixo Ásia-Pacífico e suas consequências para a América Latina: da APEC à Aliança do Pacífico","cooperação econômica"
"Novas configurações econômicas no eixo Ásia-Pacífico e suas consequências para a América Latina: da APEC à Aliança do Pacífico","América Latina"
"Novas configurações econômicas no eixo Ásia-Pacífico e suas consequências para a América Latina: da APEC à Aliança do Pacífico","Aliança do Pacífico"
"A RELAÇÃO ENTRE EDUCAÇÃO E DESENVOLVIMENTO ECONÔMICO NO CAPITALISMO: ELEMENTOS PARA UM DEBATE","Educação"
"A RELAÇÃO ENTRE EDUCAÇÃO E DESENVOLVIMENTO ECONÔMICO NO CAPITALISMO: ELEMENTOS PARA UM DEBATE","Desenvolvimento econômico"
"A RELAÇÃO ENTRE EDUCAÇÃO E DESENVOLVIMENTO ECONÔMICO NO CAPITALISMO: ELEMENTOS PARA UM DEBATE","Capitalismo"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Education"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Social Welfare Economics"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Social Protection"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Social and Labor Economics"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Education and Development"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Education"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Social Welfare Economics"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Social Protection"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Social and Labor Economics"
"Além da Agenda Endógena da Educação: propostas para a construção coletiva de um projeto de desenvolvimento","Education and Development"
"O Ideb: limites e ilusões de uma política educacional","Avaliação educacional"
"O Ideb: limites e ilusões de uma política educacional","Ideb"
"O Ideb: limites e ilusões de uma política educacional","Nível socioeconômico"
"O Ideb: limites e ilusões de uma política educacional","Eficácia escolar"
"Produção do conhecimento na educação superior australiana: do acadêmico ao comercial","Políticas de pesquisa"
"Produção do conhecimento na educação superior australiana: do acadêmico ao comercial","Comercialização"
"Produção do conhecimento na educação superior australiana: do acadêmico ao comercial","Economia do conhecimento"
"Produção do conhecimento na educação superior australiana: do acadêmico ao comercial","Condução do mercado"
"Produção do conhecimento na educação superior australiana: do acadêmico ao comercial","Gestão de pesquisa"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","Alemanha e Brasil, 1870-1945"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","política internacional"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","relações econômica, política e cultural"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","ordens espaciais"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","história global"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","Alemanha e Brasil, 1870-1945"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","política internacional"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","relações econômica, política e cultural"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","ordens espaciais"
"Alemanha e Brasil, 1870-1945: uma relação entre espaços","história global"
"Nelson Rockefeller e a atuação da American International Association for Economic and Social Development: debates sobre missão e imperialismo no Brasil, 1946-1961","Nelson Rockefeller (1908-1979)"
"Nelson Rockefeller e a atuação da American International Association for Economic and Social Development: debates sobre missão e imperialismo no Brasil, 1946-1961","American International Association for Economic and Social Development"
"Nelson Rockefeller e a atuação da American International Association for Economic and Social Development: debates sobre missão e imperialismo no Brasil, 1946-1961","missão de cooperação técnica"
"Nelson Rockefeller e a atuação da American International Association for Economic and Social Development: debates sobre missão e imperialismo no Brasil, 1946-1961","imperialismo"
"Nelson Rockefeller e a atuação da American International Association for Economic and Social Development: debates sobre missão e imperialismo no Brasil, 1946-1961","Brasil-EUA"
"Homens da cana e hospitais do açúcar: uma arquitetura da saúde no Estado Novo","arquitetura hospitalar"
"Homens da cana e hospitais do açúcar: uma arquitetura da saúde no Estado Novo","política de saúde"
"Homens da cana e hospitais do açúcar: uma arquitetura da saúde no Estado Novo","economia açucareira"
"Homens da cana e hospitais do açúcar: uma arquitetura da saúde no Estado Novo","Estado Novo (1937-1945)"
"Homens da cana e hospitais do açúcar: uma arquitetura da saúde no Estado Novo","Brasil"
"Field science in the Railroad Era: the tools of knowledge empire in the American West, 1869-1916","pesquisa de campo"
"Field science in the Railroad Era: the tools of knowledge empire in the American West, 1869-1916","estradas de ferro"
"Field science in the Railroad Era: the tools of knowledge empire in the American West, 1869-1916","John Wesley Powell"
"Field science in the Railroad Era: the tools of knowledge empire in the American West, 1869-1916","Oeste americano"
"Field science in the Railroad Era: the tools of knowledge empire in the American West, 1869-1916","desenvolvimento econômico"
"A campanha contra a broca-do-café em São Paulo (1924-1927)","economia cafeeira"
"A campanha contra a broca-do-café em São Paulo (1924-1927)","broca-do-café"
"A campanha contra a broca-do-café em São Paulo (1924-1927)","comissão científica"
"A campanha contra a broca-do-café em São Paulo (1924-1927)","pragas agrícolas"
"Investimentos privados, impactos ambientais e qualidade de vida num empreendimento mineral amazônico: o caso da mina de manganês de Serra do Navio (Amapá)","Amapá"
"Investimentos privados, impactos ambientais e qualidade de vida num empreendimento mineral amazônico: o caso da mina de manganês de Serra do Navio (Amapá)","mineração"
"Investimentos privados, impactos ambientais e qualidade de vida num empreendimento mineral amazônico: o caso da mina de manganês de Serra do Navio (Amapá)","manganês"
"Investimentos privados, impactos ambientais e qualidade de vida num empreendimento mineral amazônico: o caso da mina de manganês de Serra do Navio (Amapá)","Amazônia"
"Investimentos privados, impactos ambientais e qualidade de vida num empreendimento mineral amazônico: o caso da mina de manganês de Serra do Navio (Amapá)","impactos ambientais"
"Investimentos privados, impactos ambientais e qualidade de vida num empreendimento mineral amazônico: o caso da mina de manganês de Serra do Navio (Amapá)","desenvolvimento socioeconômico"
"Investimentos privados, impactos ambientais e qualidade de vida num empreendimento mineral amazônico: o caso da mina de manganês de Serra do Navio (Amapá)","desenvolvimento regional"
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","Amazônia"
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","anomia"
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","fronteiras"
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","desenvolvimento socioeconômico"
"Os níveis de desenvolvimento socioeconômico da população da Amazônia brasileira: 1970 e 1980","subdesenvolvimento"
"Lições para a história das ciências no Brasil: Instituto Pasteur de São Paulo","história das ciências"
"Lições para a história das ciências no Brasil: Instituto Pasteur de São Paulo","história econômica"
"Lições para a história das ciências no Brasil: Instituto Pasteur de São Paulo","saúde pública"
"Lições para a história das ciências no Brasil: Instituto Pasteur de São Paulo","indústria farmacêutica"
"Lições para a história das ciências no Brasil: Instituto Pasteur de São Paulo","São Paulo"
"Lições para a história das ciências no Brasil: Instituto Pasteur de São Paulo","Brasil"
"Administrando pessoas, recursos e rituais. Pedagogia econômica como tática de governo em Timor-Leste","cultura"
"Administrando pessoas, recursos e rituais. Pedagogia econômica como tática de governo em Timor-Leste","economia"
"Administrando pessoas, recursos e rituais. Pedagogia econômica como tática de governo em Timor-Leste","modernização"
"Administrando pessoas, recursos e rituais. Pedagogia econômica como tática de governo em Timor-Leste","Timor-Leste"
"Modas de mulher, modos de comércio: camadas médias, cultura e economia na história do consumo moderno","classes médias"
"Modas de mulher, modos de comércio: camadas médias, cultura e economia na história do consumo moderno","cultura e economia"
"Modas de mulher, modos de comércio: camadas médias, cultura e economia na história do consumo moderno","história cultural do consumo"
"Modas de mulher, modos de comércio: camadas médias, cultura e economia na história do consumo moderno","representações da mulher"
"A economia simbólica dos acervos literários: itinerários de produção da crença em Cora Coralina","acervos"
"A economia simbólica dos acervos literários: itinerários de produção da crença em Cora Coralina","Cora Coralina"
"A economia simbólica dos acervos literários: itinerários de produção da crença em Cora Coralina","economia simbólica"
"A economia simbólica dos acervos literários: itinerários de produção da crença em Cora Coralina","literatura"
"Modernidade seletiva e estado predador: primeira aproximação às revoltas populares em maputo de 2008 e 2010","economia informal"
"Modernidade seletiva e estado predador: primeira aproximação às revoltas populares em maputo de 2008 e 2010","estado pós-colonial"
"Modernidade seletiva e estado predador: primeira aproximação às revoltas populares em maputo de 2008 e 2010","Moçambique"
"Modernidade seletiva e estado predador: primeira aproximação às revoltas populares em maputo de 2008 e 2010","protesto social"
"A dinâmica do marketing de rede: relações sociais e expectativas de um novo estilo de vida","Amway"
"A dinâmica do marketing de rede: relações sociais e expectativas de um novo estilo de vida","antropologia econômica"
"A dinâmica do marketing de rede: relações sociais e expectativas de um novo estilo de vida","estilo de vida"
"A dinâmica do marketing de rede: relações sociais e expectativas de um novo estilo de vida","marketing de rede"
"O mundo dos bens, vinte anos depois","antropologia"
"O mundo dos bens, vinte anos depois","consumo"
"O mundo dos bens, vinte anos depois","dádiva"
"O mundo dos bens, vinte anos depois","economia"
"O sistema econômico nas sociedades indígenas Guarani pré-coloniais","economia doméstica"
"O sistema econômico nas sociedades indígenas Guarani pré-coloniais","Etnoarqueologia Guarani"
"Uma sociedade em mudança: antropologia de uma ""transição"" na Bulgária","Bulgária"
"Uma sociedade em mudança: antropologia de uma ""transição"" na Bulgária","esfera de intercâmbio"
"Uma sociedade em mudança: antropologia de uma ""transição"" na Bulgária","integração européia"
"Uma sociedade em mudança: antropologia de uma ""transição"" na Bulgária","mercado"
"Uma sociedade em mudança: antropologia de uma ""transição"" na Bulgária","transição econômica"
"Uma sociedade em mudança: antropologia de uma ""transição"" na Bulgária","troca"
"San Francisco e a nova economia do desejo","San Francisco"
"San Francisco e a nova economia do desejo","Economia"
"San Francisco e a nova economia do desejo","Desejo"
"San Francisco e a nova economia do desejo","Tecnologia"
"San Francisco e a nova economia do desejo","Sexualidade"
"San Francisco e a nova economia do desejo","Hook up"
"Desenvolvimento, progresso e crescimento econômico","Progresso"
"Desenvolvimento, progresso e crescimento econômico","Desenvolvimento Humano"
"Desenvolvimento, progresso e crescimento econômico","Desenvolvimento Econômico"
"Desenvolvimento, progresso e crescimento econômico","Crescimento Econômico"
"Desenvolvimento, progresso e crescimento econômico","Progresso"
"Desenvolvimento, progresso e crescimento econômico","Desenvolvimento Humano"
"Desenvolvimento, progresso e crescimento econômico","Desenvolvimento Econômico"
"Desenvolvimento, progresso e crescimento econômico","Crescimento Econômico"
"Trabalho, solidariedade social e economia solidária","Trabalho"
"Trabalho, solidariedade social e economia solidária","Solidariedade Social"
"Trabalho, solidariedade social e economia solidária","Políticas Sociais"
"Trabalho, solidariedade social e economia solidária","Solidarismo Cristão"
"Trabalho, solidariedade social e economia solidária","Economia Solidária"
"Para onde vai o multilateralismo nas américas?: projetos superpostos num período de mudanças globais","Regionalismo"
"Para onde vai o multilateralismo nas américas?: projetos superpostos num período de mudanças globais","Sistema Interamericano"
"Para onde vai o multilateralismo nas américas?: projetos superpostos num período de mudanças globais","Organizações latino-americanas e caribenhas"
"Para onde vai o multilateralismo nas américas?: projetos superpostos num período de mudanças globais","Segurança"
"Para onde vai o multilateralismo nas américas?: projetos superpostos num período de mudanças globais","Direitos Humanos"
"Para onde vai o multilateralismo nas américas?: projetos superpostos num período de mudanças globais","Integração Econômica"
"Para onde vai o multilateralismo nas américas?: projetos superpostos num período de mudanças globais","Políticas Públicas"
"Os imperativos do Brasil no desafiador espaço regional da América do Sul: uma visão da economia política internacional","América do Sul"
"Os imperativos do Brasil no desafiador espaço regional da América do Sul: uma visão da economia política internacional","integração regional"
"Os imperativos do Brasil no desafiador espaço regional da América do Sul: uma visão da economia política internacional","Economia Política Internacional"
"Os imperativos do Brasil no desafiador espaço regional da América do Sul: uma visão da economia política internacional","Brasil"
"Relações entre equidade e viabilidade nos empreendimentos solidários","Economia solidária"
"Relações entre equidade e viabilidade nos empreendimentos solidários","empresas"
"Relações entre equidade e viabilidade nos empreendimentos solidários","igualdade"
"Relações entre equidade e viabilidade nos empreendimentos solidários","renda"
"Relações entre equidade e viabilidade nos empreendimentos solidários","trabalho"
"A dimensão econômica da teoria política aristotélica","Economia"
"A dimensão econômica da teoria política aristotélica","Política"
"A dimensão econômica da teoria política aristotélica","Crematística"
"A dimensão econômica da teoria política aristotélica","Regimes políticos"
"Mudanças da inserção brasileira na américa latina","Mercosul"
"Mudanças da inserção brasileira na américa latina","Política externa brasileira"
"Mudanças da inserção brasileira na américa latina","Integração regional"
"Mudanças da inserção brasileira na américa latina","Economia política Internacional"
"O capitalismo coordenado alemão: do boom do pós-guerra à Agenda 2010","Modelos de Capitalismo"
"O capitalismo coordenado alemão: do boom do pós-guerra à Agenda 2010","Instituições"
"O capitalismo coordenado alemão: do boom do pós-guerra à Agenda 2010","Alemanha"
"O capitalismo coordenado alemão: do boom do pós-guerra à Agenda 2010","Capitalismo Coordenado"
"O capitalismo coordenado alemão: do boom do pós-guerra à Agenda 2010","Economia Política"
"Abertura econômica, empresariado e política: os planos doméstico e internacional","Abertura econômica"
"Abertura econômica, empresariado e política: os planos doméstico e internacional","Liderança política"
"Abertura econômica, empresariado e política: os planos doméstico e internacional","Ação coletiva"
"Abertura econômica, empresariado e política: os planos doméstico e internacional","Empresariado"
"Abertura econômica, empresariado e política: os planos doméstico e internacional","Confederação Nacional da Indústria"
"Abertura econômica, empresariado e política: os planos doméstico e internacional","Coalizão Empresarial Brasileira"
"São Paulo no contexto da globalização","Globalização econômica, social, política e cultural"
"São Paulo no contexto da globalização","Globalização contra-hegemônica"
"São Paulo no contexto da globalização","Cidade-global periférica ou emergente"
"São Paulo no contexto da globalização","Megametrópole"
"Estado, mercado e outras instituições reguladoras","Estado"
"Estado, mercado e outras instituições reguladoras","mercado"
"Estado, mercado e outras instituições reguladoras","instituições políticas"
"Estado, mercado e outras instituições reguladoras","inovação econômica"
"Brasil: a economia do capitalismo selvagem","Economia brasileira"
"Brasil: a economia do capitalismo selvagem","economia e política no Brasil"
"Brasil: a economia do capitalismo selvagem","capitalismo no Brasil"
"Brasil: a economia do capitalismo selvagem","Economia brasileira"
"Brasil: a economia do capitalismo selvagem","economia e política no Brasil"
"Brasil: a economia do capitalismo selvagem","capitalismo no Brasil"
"DINHEIRO, EMOÇÃO E AGÊNCIA: UMA ETNOGRAFIA NO MERCADO FUNERÁRIO DE PORTO ALEGRE","Economia emocional"
"DINHEIRO, EMOÇÃO E AGÊNCIA: UMA ETNOGRAFIA NO MERCADO FUNERÁRIO DE PORTO ALEGRE","Mercado funerário"
"DINHEIRO, EMOÇÃO E AGÊNCIA: UMA ETNOGRAFIA NO MERCADO FUNERÁRIO DE PORTO ALEGRE","Negociação"
"DINHEIRO, EMOÇÃO E AGÊNCIA: UMA ETNOGRAFIA NO MERCADO FUNERÁRIO DE PORTO ALEGRE","Pessoa morta."
"A construção intelectual dos mercados agrícolas: a sociedade francesa dos economistas rurais e a revista Economie Rurale","Economia performativa"
"A construção intelectual dos mercados agrícolas: a sociedade francesa dos economistas rurais e a revista Economie Rurale","Agricultura"
"A construção intelectual dos mercados agrícolas: a sociedade francesa dos economistas rurais e a revista Economie Rurale","Categorias de percepção"
"Política e economia na ação coletiva: uma crítica etnográfica às premissas dicotômicas","Ação Coletiva"
"Política e economia na ação coletiva: uma crítica etnográfica às premissas dicotômicas","Etnografia"
"Política e economia na ação coletiva: uma crítica etnográfica às premissas dicotômicas","Política"
"Política e economia na ação coletiva: uma crítica etnográfica às premissas dicotômicas","Economia"
